Company,Type,Series,URL,B2B vs B2C,Location,Status,Assignee
Aux Perchés,501c,INV539,,,,Assigned,John Smith
BeWe,501c,INV545,,,,Assigned,Mabel Lee
Akari Trading,501c,INV520,,,,Assigned,Jan Novák
WILLA,501c,INV543,,,,Assigned,Navn Navnesen
The Reg3 Conference,4800a,INV449,,,,Assigned,Zhang San
Papapéro,4800a,INV493,,,,Assigned,John Smith
Red Reconciliation,325d,INV554,,,,Assigned,Mabel Lee
Quick,501c,INV475,,,,Assigned,Jan Novák
RE.avecvous,325d,INV475,,,,Assigned,Navn Navnesen
Beautiful Places AI,325d,INV408,,,,Assigned,Zhang San
Intergrid,501c,INV424,,,,Assigned,John Smith
BNI España SLC,325d,INV457,,,,Assigned,Mabel Lee
Squrio Games,501c,INV525,,,,Assigned,Jan Novák
spektr (still in stealth),501c,INV591,,,,Assigned,Navn Navnesen
NEOM,501c,INV437,,,,Assigned,Zhang San
Capgemini,4800a,INV423,,,,Assigned,John Smith
Dune Street Ventures,4800a,INV430,,,,Assigned,Mabel Lee
Sphaira Innovation,501c,INV486,,,,Assigned,Jan Novák
HypeData,501c,INV442,,,,Assigned,Navn Navnesen
Feast ,4800a,INV546,,,,Assigned,Zhang San
AutoUncle,325d,INV407,,,,Assigned,John Smith
Viatera,325d,INV438,,,,Assigned,Mabel Lee
CAURUS Technologies,325d,INV581,,,,Assigned,Jan Novák
Xquire,501c,INV420,,,,Assigned,Navn Navnesen
PaxPays,501c,INV587,,,,Assigned,Zhang San
Temple,501c,INV465,,,,Assigned,John Smith
FOTOVOL,501c,INV507,,,,Assigned,Mabel Lee
University of Leicester,325d,INV439,,,,Assigned,Jan Novák
JULIENNE BRUNO®,501c,INV594,,,,Assigned,Navn Navnesen
Sensible,501c,INV556,,,,Assigned,Zhang San
OpalFlow,325d,INV425,,,,Assigned,John Smith
Wing Legal,4800a,INV580,,,,Assigned,Mabel Lee
Wakaru,4800a,INV508,,,,Assigned,Jan Novák
AdScribe,501c,INV506,,,,Assigned,Navn Navnesen
Netlight,325d,INV458,,,,Assigned,Zhang San
SkillScout,4800a,INV573,,,,Assigned,John Smith
Coiniverse,325d,INV583,,,,Assigned,Mabel Lee
Letio,4800a,INV473,,,,Assigned,Jan Novák
spektr (still in stealth),501c,INV584,,,,Assigned,Navn Navnesen
Datayoyo,325d,INV593,,,,Assigned,Zhang San
Allectus,501c,INV535,,,,Assigned,John Smith
Effective Change,501c,INV487,,,,Assigned,Mabel Lee
Plaace,325d,INV428,,,,Assigned,Jan Novák
CAVE Conference,325d,INV440,,,,Assigned,Navn Navnesen
Azonto,501c,INV544,,,,Assigned,Zhang San
KALAE,325d,INV530,,,,Assigned,John Smith
Stealth Startup,325d,INV450,,,,Assigned,Mabel Lee
DRAUP,325d,INV451,,,,Assigned,Jan Novák
ALTEN,501c,INV523,,,,Assigned,Navn Navnesen
Oxford Founders Society,325d,INV568,,,,Assigned,Zhang San
Appera AS,4800a,INV487,,,,Assigned,John Smith
MENGEL,501c,INV500,,,,Assigned,Mabel Lee
Bridgewise,4800a,INV457,,,,Assigned,Jan Novák
eterlast,325d,INV597,,,,Assigned,Navn Navnesen
Diabolo,4800a,INV434,,,,Assigned,Zhang San
Eurekia,325d,INV560,,,,Assigned,John Smith
University of Oxford,325d,INV573,,,,Assigned,Mabel Lee
B. CAPITOL PARTNERS,501c,INV441,,,,Assigned,Jan Novák
Red Rover Interactive,501c,INV424,,,,Assigned,Navn Navnesen
Composo.ai,501c,INV464,,,,Assigned,Zhang San
Vasco,501c,INV446,,,,Assigned,John Smith
Spheres,4800a,INV444,,,,Assigned,Mabel Lee
Qriptal,325d,INV459,,,,Assigned,Jan Novák
Upside.gg,4800a,INV461,,,,Assigned,Navn Navnesen
Restart Career GmbH,325d,INV420,,,,Assigned,Zhang San
Splore GmbH,4800a,INV432,,,,Assigned,John Smith
EVolution Therapeutics,4800a,INV505,,,,Assigned,Mabel Lee
AppThreat,4800a,INV475,,,,Assigned,Jan Novák
Skya,501c,INV511,,,,Assigned,Navn Navnesen
Spheres,4800a,INV453,,,,Assigned,Zhang San
STEMaccess,325d,INV562,,,,Assigned,John Smith
We Sit,4800a,INV414,,,,Assigned,Mabel Lee
Rebrew,325d,INV539,,,,Assigned,Jan Novák
Tarleton Communications,4800a,INV527,,,,Assigned,Navn Navnesen
Backstop Solutions Group,501c,INV552,,,,Assigned,Zhang San
Osol,4800a,INV581,,,,Assigned,John Smith
Graend by Hellon,325d,INV464,,,,Assigned,Mabel Lee
WeCare ET,501c,INV419,,,,Assigned,Jan Novák
Verdn (YC W22),325d,INV475,,,,Assigned,Navn Navnesen
Heartpace,4800a,INV463,,,,Assigned,Zhang San
Aira,4800a,INV515,,,,Assigned,John Smith
ICARE,4800a,INV499,,,,Assigned,Mabel Lee
Woodpecker.co,325d,INV544,,,,Assigned,Jan Novák
Evercontent,4800a,INV460,,,,Assigned,Navn Navnesen
Alpaca Leads,501c,INV449,,,,Assigned,Zhang San
KPI Elevate,325d,INV409,,,,Assigned,John Smith
Africa United Corporation,501c,INV449,,,,Assigned,Mabel Lee
Kintsukuroi Wellbeing,501c,INV486,,,,Assigned,Jan Novák
Sistren,501c,INV478,,,,Assigned,Navn Navnesen
Phaze bike,4800a,INV456,,,,Assigned,Zhang San
Qonto,501c,INV473,,,,Assigned,John Smith
Formed.fi,4800a,INV430,,,,Assigned,Mabel Lee
Incubateur Manufactory - Centre d'Entrepreneuriat Lyon Saint-Etienne,4800a,INV536,,,,Assigned,Jan Novák
VVS Impact,4800a,INV417,,,,Assigned,Navn Navnesen
Victeris,501c,INV492,,,,Assigned,Zhang San
SecondStar,325d,INV445,,,,Assigned,John Smith
RESTORE (Restored Land Ltd.),501c,INV479,,,,Assigned,Mabel Lee
Eagle Solutions,325d,INV445,,,,Assigned,Jan Novák
Umain,501c,INV470,,,,Assigned,Navn Navnesen
Zoe Care,4800a,INV585,,,,Assigned,Zhang San
Hermaid,325d,INV512,,,,Assigned,John Smith
HyLight,325d,INV479,,,,Assigned,Mabel Lee
Valused,501c,INV411,,,,Assigned,Jan Novák
All Baby,4800a,INV559,,,,Assigned,Navn Navnesen
Aurezzi,325d,INV526,,,,Assigned,Zhang San
MediTechLabs,325d,INV599,,,,Assigned,John Smith
HubScape,4800a,INV492,,,,Assigned,Mabel Lee
COMÉTE,4800a,INV484,,,,Assigned,Jan Novák
Andragogy,4800a,INV415,,,,Assigned,Navn Navnesen
Ambio,325d,INV417,,,,Assigned,Zhang San
Knowingly,501c,INV538,,,,Assigned,John Smith
Entrepreneur First,325d,INV503,,,,Assigned,Mabel Lee
Zukunftsarchitekten & Du,4800a,INV446,,,,Assigned,Jan Novák
Biner.ai,501c,INV452,,,,Assigned,Navn Navnesen
Stealth,325d,INV558,,,,Assigned,Zhang San
Brainstorm Newsletter,4800a,INV524,,,,Assigned,John Smith
Valon,501c,INV597,,,,Assigned,Mabel Lee
Dermae,4800a,INV459,,,,Assigned,Jan Novák
McKinsey & Company,4800a,INV449,,,,Assigned,Navn Navnesen
Embrace Neurodiversity Ltd,4800a,INV484,,,,Assigned,Zhang San
CGI Business Consulting,4800a,INV590,,,,Assigned,John Smith
TrackPaw Scientific AB,325d,INV597,,,,Assigned,Mabel Lee
Retactic,4800a,INV409,,,,Assigned,Jan Novák
Akacia,325d,INV565,,,,Assigned,Navn Navnesen
remote.aero,325d,INV536,,,,Assigned,Zhang San
Revibe,325d,INV503,,,,Assigned,John Smith
Atiom,501c,INV590,,,,Assigned,Mabel Lee
Quantum Gnomes,4800a,INV557,,,,Assigned,Jan Novák
House of Emirates,501c,INV501,,,,Assigned,Navn Navnesen
Locaria,325d,INV429,,,,Assigned,Zhang San
Cambridge Intelligence,325d,INV482,,,,Assigned,John Smith
Ai4Growth,4800a,INV600,,,,Assigned,Mabel Lee
Nullure,4800a,INV433,,,,Assigned,Jan Novák
Sunlight.io,4800a,INV574,,,,Assigned,Navn Navnesen
treefera,4800a,INV546,,,,Assigned,Zhang San
Smart Bees,4800a,INV526,,,,Assigned,John Smith
Dr.Dropin,501c,INV538,,,,Assigned,Mabel Lee
Trezo,501c,INV460,,,,Assigned,Jan Novák
engraph,325d,INV460,,,,Assigned,Navn Navnesen
T3N Sport & Investment,501c,INV489,,,,Assigned,Zhang San
Capgemini Engineering,325d,INV400,,,,Assigned,John Smith
twig,501c,INV471,,,,Assigned,Mabel Lee
AFL Diversity,325d,INV526,,,,Assigned,Jan Novák
Boxio.ai,501c,INV481,,,,Assigned,Navn Navnesen
Junction,501c,INV488,,,,Assigned,Zhang San
University of Cambridge,325d,INV423,,,,Assigned,John Smith
Maavee,4800a,INV590,,,,Assigned,Mabel Lee
ANYHOW,4800a,INV555,,,,Assigned,Jan Novák
LinkApp - Linking people together,4800a,INV413,,,,Assigned,Navn Navnesen
AlphaGrowth_xyz,4800a,INV494,,,,Assigned,Zhang San
MAUNA,4800a,INV551,,,,Assigned,John Smith
Circulaire,325d,INV569,,,,Assigned,Mabel Lee
Tacto,325d,INV561,,,,Assigned,Jan Novák
D Agency,4800a,INV478,,,,Assigned,Navn Navnesen
Finastra,501c,INV518,,,,Assigned,Zhang San
Tacit Legal,4800a,INV506,,,,Assigned,John Smith
LIFE Lebanon,501c,INV474,,,,Assigned,Mabel Lee
adidas,501c,INV426,,,,Assigned,Jan Novák
Gumbo,501c,INV499,,,,Assigned,Navn Navnesen
Code of Alfred,4800a,INV452,,,,Assigned,Zhang San
Pactio,4800a,INV435,,,,Assigned,John Smith
Overscale Solutions Oy,4800a,INV510,,,,Assigned,Mabel Lee
Pave,325d,INV425,,,,Assigned,Jan Novák
Pluto (Mon Courtier Digital SAS),325d,INV572,,,,Assigned,Navn Navnesen
Neste,325d,INV476,,,,Assigned,Zhang San
MediRapp AG,4800a,INV551,,,,Assigned,John Smith
Onventis,4800a,INV412,,,,Assigned,Mabel Lee
SAFE AI NOW,501c,INV527,,,,Assigned,Jan Novák
Womco,4800a,INV407,,,,Assigned,Navn Navnesen
Roel Conseil,4800a,INV545,,,,Assigned,Zhang San
impactify,4800a,INV413,,,,Assigned,John Smith
PERmute,325d,INV531,,,,Assigned,Mabel Lee
Version Lens,501c,INV513,,,,Assigned,Jan Novák
Arctic Animal Oy,501c,INV505,,,,Assigned,Navn Navnesen
22h22advisor,325d,INV599,,,,Assigned,Zhang San
Modelup,325d,INV542,,,,Assigned,John Smith
Entrepreneur First,4800a,INV434,,,,Assigned,Mabel Lee
Cowlabs,501c,INV428,,,,Assigned,Jan Novák
Exponential View,4800a,INV484,,,,Assigned,Navn Navnesen
Voxee,325d,INV510,,,,Assigned,Zhang San
Unity,4800a,INV423,,,,Assigned,John Smith
Oxford Venture Capital Network,501c,INV546,,,,Assigned,Mabel Lee
Debtist,4800a,INV445,,,,Assigned,Jan Novák
BSKManagement,501c,INV407,,,,Assigned,Navn Navnesen
Gritera,325d,INV531,,,,Assigned,Zhang San
CMi2i,4800a,INV432,,,,Assigned,John Smith
Phase Space Ltd,325d,INV406,,,,Assigned,Mabel Lee
B3 Secure,325d,INV600,,,,Assigned,Jan Novák
Borrowed Soul Studio,4800a,INV561,,,,Assigned,Navn Navnesen
Stealth,4800a,INV522,,,,Assigned,Zhang San
Barclays UK,501c,INV448,,,,Assigned,John Smith
EY,325d,INV523,,,,Assigned,Mabel Lee
Chorus Capital,4800a,INV581,,,,Assigned,Jan Novák
Monster Playable,4800a,INV494,,,,Assigned,Navn Navnesen
Kotini,325d,INV537,,,,Assigned,Zhang San
APPARO,501c,INV534,,,,Assigned,John Smith
NHS,501c,INV456,,,,Assigned,Mabel Lee
plinth,501c,INV507,,,,Assigned,Jan Novák
61N,501c,INV509,,,,Assigned,Navn Navnesen
Butterfly,501c,INV567,,,,Assigned,Zhang San
Sentimenta.io,4800a,INV430,,,,Assigned,John Smith
Morgan Stanley,4800a,INV465,,,,Assigned,Mabel Lee
Feldwerke,4800a,INV417,,,,Assigned,Jan Novák
Mozart AI,501c,INV591,,,,Assigned,Navn Navnesen
Goldman Sachs,4800a,INV446,,,,Assigned,Zhang San
Maria Chietera: Mindfulness & Coaching,4800a,INV502,,,,Assigned,John Smith
KAIKAKU,325d,INV538,,,,Assigned,Mabel Lee
EV inFocus,325d,INV516,,,,Assigned,Jan Novák
Pan Games,4800a,INV494,,,,Assigned,Navn Navnesen
Immocompare,4800a,INV594,,,,Assigned,Zhang San
Freemote,4800a,INV481,,,,Assigned,John Smith
Zanista.AI,4800a,INV528,,,,Assigned,Mabel Lee
Koodipöllö,325d,INV416,,,,Assigned,Jan Novák
collectivehood,4800a,INV402,,,,Assigned,Navn Navnesen
4Elements,4800a,INV458,,,,Assigned,Zhang San
throxy,4800a,INV587,,,,Assigned,John Smith
Infinity,501c,INV536,,,,Assigned,Mabel Lee
Housefolk,501c,INV447,,,,Assigned,Jan Novák
CXFacts,325d,INV477,,,,Assigned,Navn Navnesen
University of South-Eastern Norway,325d,INV524,,,,Assigned,Zhang San
Savy Wellness,4800a,INV470,,,,Assigned,John Smith
managetopia x GmbH,501c,INV547,,,,Assigned,Mabel Lee
Qogita,325d,INV466,,,,Assigned,Jan Novák
TXS Digital,4800a,INV553,,,,Assigned,Navn Navnesen
SquirrelAI,325d,INV447,,,,Assigned,Zhang San
Exercio,501c,INV502,,,,Assigned,John Smith
EU4UA.org,4800a,INV580,,,,Assigned,Mabel Lee
Lulo Invest,325d,INV470,,,,Assigned,Jan Novák
Stealth Startup,4800a,INV435,,,,Assigned,Navn Navnesen
Nordat.ai,4800a,INV557,,,,Assigned,Zhang San
LSC Technologies,4800a,INV408,,,,Assigned,John Smith
Beekle,4800a,INV507,,,,Assigned,Mabel Lee
FollowInvest,4800a,INV598,,,,Assigned,Jan Novák
Lucas Holm,4800a,INV424,,,,Assigned,Navn Navnesen
Your Sustainable Friend,325d,INV448,,,,Assigned,Zhang San
DutyFinland,501c,INV485,,,,Assigned,John Smith
Ashore,325d,INV529,,,,Assigned,Mabel Lee
MetaVoice,501c,INV436,,,,Assigned,Jan Novák
Kidigeek ,501c,INV540,,,,Assigned,Navn Navnesen
Segenious Finance,501c,INV419,,,,Assigned,Zhang San
Morgan Stanley,501c,INV482,,,,Assigned,John Smith
Nifby,325d,INV475,,,,Assigned,Mabel Lee
CAMELOT Management Consultants,4800a,INV529,,,,Assigned,Jan Novák
Logiadapt',501c,INV589,,,,Assigned,Navn Navnesen
Spot,325d,INV562,,,,Assigned,Zhang San
Zurich Insurance Company Ltd,4800a,INV538,,,,Assigned,John Smith
House Service App,325d,INV547,,,,Assigned,Mabel Lee
kalm*,501c,INV517,,,,Assigned,Jan Novák
Based in,501c,INV516,,,,Assigned,Navn Navnesen
NÉA,4800a,INV428,,,,Assigned,Zhang San
Pasyc,325d,INV426,,,,Assigned,John Smith
Orus Energy,4800a,INV572,,,,Assigned,Mabel Lee
Skillfinder AI,325d,INV411,,,,Assigned,Jan Novák
MEANING AT WORK,501c,INV568,,,,Assigned,Navn Navnesen
Digital Industrial Modules - DIM,325d,INV529,,,,Assigned,Zhang San
Volund Consulting,4800a,INV521,,,,Assigned,John Smith
illumion,4800a,INV507,,,,Assigned,Mabel Lee
WEBOAF,501c,INV422,,,,Assigned,Jan Novák
CANAL+ Group,325d,INV582,,,,Assigned,Navn Navnesen
MAISON MAG,325d,INV424,,,,Assigned,Zhang San
UK Storage Company,4800a,INV470,,,,Assigned,John Smith
Visit Group,501c,INV520,,,,Assigned,Mabel Lee
Likeo,4800a,INV419,,,,Assigned,Jan Novák
ETH Zürich,4800a,INV580,,,,Assigned,Navn Navnesen
Optistream,4800a,INV492,,,,Assigned,Zhang San
The Oxbridge Tutor Company ,325d,INV421,,,,Assigned,John Smith
L'Oréal,4800a,INV440,,,,Assigned,Mabel Lee
EXPLORING THE PASSION,4800a,INV467,,,,Assigned,Jan Novák
About Tomorrow,4800a,INV598,,,,Assigned,Navn Navnesen
Spindogs,325d,INV465,,,,Assigned,Zhang San
Ideen-Butze©,4800a,INV560,,,,Assigned,John Smith
Horizom | Le bambou au service de la transition 🌱,325d,INV448,,,,Assigned,Mabel Lee
Jagtbasen,325d,INV597,,,,Assigned,Jan Novák
docTeller,501c,INV489,,,,Assigned,Navn Navnesen
mote.consulting,325d,INV518,,,,Assigned,Zhang San
Udviklings- og Forenklingsstyrelsen,4800a,INV536,,,,Assigned,John Smith
Dubai Future District Fund,325d,INV591,,,,Assigned,Mabel Lee
Animaj,4800a,INV482,,,,Assigned,Jan Novák
Klark,4800a,INV522,,,,Assigned,Navn Navnesen
NICE RICE,325d,INV540,,,,Assigned,Zhang San
Gekko,325d,INV540,,,,Assigned,John Smith
Grecos,501c,INV408,,,,Assigned,Mabel Lee
Salesforce,325d,INV533,,,,Assigned,Jan Novák
plusserver,4800a,INV563,,,,Assigned,Navn Navnesen
Boonty,4800a,INV411,,,,Assigned,Zhang San
Cloudilic,325d,INV512,,,,Assigned,John Smith
Verhaert | Masters in Innovation,501c,INV401,,,,Assigned,Mabel Lee
The Digital Leaders Fund,325d,INV403,,,,Assigned,Jan Novák
Tensoriel,4800a,INV445,,,,Assigned,Navn Navnesen
Code of Alfred,501c,INV532,,,,Assigned,Zhang San
Alfeor,501c,INV534,,,,Assigned,John Smith
FBS-Systems,325d,INV456,,,,Assigned,Mabel Lee
Taivasalla,4800a,INV580,,,,Assigned,Jan Novák
Reshot AI,325d,INV414,,,,Assigned,Navn Navnesen
Orus Energy,325d,INV461,,,,Assigned,Zhang San
Google,4800a,INV425,,,,Assigned,John Smith
Skein,4800a,INV429,,,,Assigned,Mabel Lee
Aara,501c,INV498,,,,Assigned,Jan Novák
Qurrent,501c,INV578,,,,Assigned,Navn Navnesen
Manerty,4800a,INV466,,,,Assigned,Zhang San
Valo Security,4800a,INV486,,,,Assigned,John Smith
Green Heart Collective,325d,INV523,,,,Assigned,Mabel Lee
NewCo Corporate Finance,325d,INV568,,,,Assigned,Jan Novák
FD Technologies,4800a,INV589,,,,Assigned,Navn Navnesen
SLASHPLAY,4800a,INV404,,,,Assigned,Zhang San
AccelerateurM,325d,INV549,,,,Assigned,John Smith
Seafields Solutions Limited,325d,INV450,,,,Assigned,Mabel Lee
LAURE FRIÈS ARCHITECTURE,4800a,INV481,,,,Assigned,Jan Novák
Paraspara,501c,INV528,,,,Assigned,Navn Navnesen
Bryn Taylor,501c,INV572,,,,Assigned,Zhang San
TryOns,501c,INV543,,,,Assigned,John Smith
Heraklio,501c,INV486,,,,Assigned,Mabel Lee
Oqula,325d,INV530,,,,Assigned,Jan Novák
Trazas,501c,INV491,,,,Assigned,Navn Navnesen
EOS EXPORT,325d,INV476,,,,Assigned,Zhang San
Exevion,4800a,INV547,,,,Assigned,John Smith
London Business School,501c,INV559,,,,Assigned,Mabel Lee
Augmetec,4800a,INV514,,,,Assigned,Jan Novák
The Shirt Dandy,501c,INV502,,,,Assigned,Navn Navnesen
Chloé Blanc Consulting,325d,INV525,,,,Assigned,Zhang San
Monsevo,4800a,INV560,,,,Assigned,John Smith
BecauseSheCan,501c,INV520,,,,Assigned,Mabel Lee
S+SWLAB,4800a,INV585,,,,Assigned,Jan Novák
Review Collect,325d,INV410,,,,Assigned,Navn Navnesen
Cargoloc,325d,INV414,,,,Assigned,Zhang San
Pareto Securities,501c,INV435,,,,Assigned,John Smith
Clio,325d,INV537,,,,Assigned,Mabel Lee
Scrypt Solutions Ltd,325d,INV442,,,,Assigned,Jan Novák
Domaine de Lignerolles,501c,INV449,,,,Assigned,Navn Navnesen
some frogs,4800a,INV493,,,,Assigned,Zhang San
Balanced France,325d,INV600,,,,Assigned,John Smith
Squarelia,4800a,INV533,,,,Assigned,Mabel Lee
Guida,501c,INV448,,,,Assigned,Jan Novák
Heverton Partners,325d,INV499,,,,Assigned,Navn Navnesen
Entrepreneur First,501c,INV584,,,,Assigned,Zhang San
Buildtivity,4800a,INV536,,,,Assigned,John Smith
Projet de jeu,501c,INV522,,,,Assigned,Mabel Lee
aLp. Consulting,325d,INV525,,,,Assigned,Jan Novák
Orb,325d,INV429,,,,Assigned,Navn Navnesen
FoundXR,501c,INV441,,,,Assigned,Zhang San
Tesla,501c,INV416,,,,Assigned,John Smith
Juoksut,325d,INV492,,,,Assigned,Mabel Lee
Berry Health,325d,INV426,,,,Assigned,Jan Novák
Dhala Cyberdéfense - Partenaire Cybersécurité des PME.,325d,INV449,,,,Assigned,Navn Navnesen
Faved,501c,INV532,,,,Assigned,Zhang San
CAPSMARK,4800a,INV508,,,,Assigned,John Smith
Spotify,4800a,INV506,,,,Assigned,Mabel Lee
Welance Conseil,325d,INV503,,,,Assigned,Jan Novák
beautyfood,4800a,INV430,,,,Assigned,Navn Navnesen
Ripple,325d,INV557,,,,Assigned,Zhang San
London Blockchain Labs (LBL),501c,INV419,,,,Assigned,John Smith
Zalmira,325d,INV539,,,,Assigned,Mabel Lee
Mazars,325d,INV596,,,,Assigned,Jan Novák
PRONOE,325d,INV481,,,,Assigned,Navn Navnesen
Zola Analytics,4800a,INV500,,,,Assigned,Zhang San
INDU.cloud,325d,INV498,,,,Assigned,John Smith
Coiniverse,501c,INV595,,,,Assigned,Mabel Lee
Matching (Data for Finance),501c,INV527,,,,Assigned,Jan Novák
Hanna Larsson,501c,INV438,,,,Assigned,Navn Navnesen
Great Yellow,325d,INV485,,,,Assigned,Zhang San
ekonoo,4800a,INV483,,,,Assigned,John Smith
University of Cambridge,4800a,INV513,,,,Assigned,Mabel Lee
NIKITO Parks,4800a,INV424,,,,Assigned,Jan Novák
Futurice,325d,INV414,,,,Assigned,Navn Navnesen
MyLittleBot,4800a,INV583,,,,Assigned,Zhang San
Energy Volunteers,501c,INV460,,,,Assigned,John Smith
SimFin Analytics GmbH,501c,INV600,,,,Assigned,Mabel Lee
Happiworkers,4800a,INV596,,,,Assigned,Jan Novák
Paradox Interactive,4800a,INV470,,,,Assigned,Navn Navnesen
Otto,501c,INV593,,,,Assigned,Zhang San
The Cambridge Tutor,325d,INV454,,,,Assigned,John Smith
Zonova Animal Health Ltd,325d,INV556,,,,Assigned,Mabel Lee
Antler,325d,INV536,,,,Assigned,Jan Novák
Ida,325d,INV400,,,,Assigned,Navn Navnesen
Efficiently,325d,INV593,,,,Assigned,Zhang San
NOWLE,4800a,INV448,,,,Assigned,John Smith
R4 Search,501c,INV496,,,,Assigned,Mabel Lee
Zukunftsarchitekten & Du,501c,INV594,,,,Assigned,Jan Novák
Mint Consulting Services,325d,INV533,,,,Assigned,Navn Navnesen
EY,4800a,INV563,,,,Assigned,Zhang San
Blue Ocean Entrepreneurs,501c,INV488,,,,Assigned,John Smith
The SaaS Sales Advisor,325d,INV545,,,,Assigned,Mabel Lee
Cambra de Barcelona,501c,INV454,,,,Assigned,Jan Novák
NotSoLiquid,325d,INV543,,,,Assigned,Navn Navnesen
Enpal,325d,INV497,,,,Assigned,Zhang San
Google,4800a,INV507,,,,Assigned,John Smith
Aesthetic Matrix,325d,INV464,,,,Assigned,Mabel Lee
APEROLOGY,325d,INV467,,,,Assigned,Jan Novák
Ogma,4800a,INV540,,,,Assigned,Navn Navnesen
EasyPlay,501c,INV426,,,,Assigned,Zhang San
Apples,4800a,INV482,,,,Assigned,John Smith
Flatpay,4800a,INV510,,,,Assigned,Mabel Lee
Cactus Rail AB,325d,INV549,,,,Assigned,Jan Novák
BiteLabs Healthtech,501c,INV534,,,,Assigned,Navn Navnesen
ToutatiX,501c,INV542,,,,Assigned,Zhang San
Deepen,501c,INV512,,,,Assigned,John Smith
EI Solutions AS,4800a,INV471,,,,Assigned,Mabel Lee
elsa.care,501c,INV400,,,,Assigned,Jan Novák
Glede,4800a,INV461,,,,Assigned,Navn Navnesen
Riverse,325d,INV504,,,,Assigned,Zhang San
ALPConsulting,4800a,INV440,,,,Assigned,John Smith
Entrepreneur First,501c,INV564,,,,Assigned,Mabel Lee
Fjordblock,4800a,INV417,,,,Assigned,Jan Novák
Otsuka Pharmaceutical Companies (U.S.),325d,INV589,,,,Assigned,Navn Navnesen
Bomoz,325d,INV596,,,,Assigned,Zhang San
Investlingo,4800a,INV524,,,,Assigned,John Smith
Multigate,325d,INV570,,,,Assigned,Mabel Lee
